"Dependencies of framework:","Total number"
,65

"Dependencies for each module:",
,65
" -- Magento\Framework",66161
" -- Magento\FunctionalTestingFramework",36
" -- Magento\ResourceConnections",1
" -- Magento\theme",1
" -- Magento\Setup",23
" -- Magento\Giftmessage",1
" -- Magento\TestFramework",729
" -- Magento\Importer",6
" -- Magento\SomeModule",2
" -- Magento\SomeWidget",1
" -- Magento\EAV",1
" -- Magento\Test",3
" -- Magento\Usa",1
" -- Magento\TestModule5",2
" -- Magento\ElasticSearch",6
" -- Magento\PayPal",3
" -- Klarna\Kco",1
" -- Magento\AdvancedSalesRule",3
" -- Vertex\Utility",27
" -- Vertex\Services",91
" -- Vertex\Exception",41
" -- Vertex\Data",93
" -- Magento\GiftWrapping",6
" -- Vertex\Mapper",60
" -- Magento\ScalableCheckout",1
" -- Magento\ScalableOms",1
" -- Magento\AdvancedCheckout",5
" -- Magento\RequisitionList",3
" -- Magento\VisualMerchandiser",6
" -- Magento\TargetRule",7
" -- Magento\Banner",1
" -- Magento\CatalogEvent",2
" -- Magento\VersionsCms",1
" -- Magento\GiftCard",5
" -- Magento\GiftRegistry",1
" -- Magento\Reminder",22
" -- Magento\Rma",5
" -- Magento\MultipleWishlist",1
" -- Magento\CustomerSegment",31
" -- Mirasvit\Rma",8
" -- Mirasvit\Kb",3
" -- Mirasvit\ReportApi",76
" -- Mirasvit\ReportBuilder",1
" -- Mirasvit\Search",1
" -- Mirasvit\Reports",1
" -- Magento\Cataloginventory",1
" -- WeltPixel\Bakcend",1
" -- WeltPixel\ProductLabels",2
" -- Nilesh\RememberMe",5
" -- Amasty\RequestQuote",1
" -- Magenest\SagepayLib",43
" -- Magenest\AutoImport",1
" -- Mageplaza\OrderAttributes",12
" -- Mageplaza\CustomerAttributes",3
" -- Mageplaza\Test",2
" -- Mageplaza\AbandonedCart",1
" -- Magento\CustomerCustomAttributes",2
" -- Mageplaza\SocialLogin",3
" -- Mageplaza\PrmoBanner",1
" -- Mageplaza\Banner",1
" -- Amasty\PageSpeedOptimizer",1
" -- Magefan\WebP",2
" -- Amasty\XmlSitemap",2
" -- Magento\AdminGws",4
" -- Magefan\BlogAuthor",1
